University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
Loras College,Dubuque,IA,www.loras.edu/,15128,Private,18919,35.02885649,833,2365,59.93742845,3.534922458
Luther College,Decorah,IA,www.luther.edu/,6845,Public,7099,71.32673336,895,2379,88.46677165,22.54646172
Maharishi International University,Fairfield,IA,https://www.miu.edu/,11266,Private,11225,92.45560057,989,1574,62.14732443,1.286911912
Marshalltown Community College,Marshalltown,IA,https://mcc.iavalley.edu/,21050,Public,36515,9.790891722,803,2732,82.8131601,13.86709202
Mercy College of Health Sciences,Des Moines,IA,https://www.mchs.edu/,47517,Public,34997,22.09714132,1315,4895,57.15406158,24.61365577
Morningside University,Sioux City,IA,https://www.morningside.edu/,26591,Public,36199,10.92152435,1223,1569,62.21871205,24.43276866
Mount Mercy University,Cedar Rapids,IA,www.mtmercy.edu/,32378,Private,8786,47.83645859,925,3045,82.58570937,1.812651032
Ashford University,San Diego,CA,www.uagc.edu/,11161,Public,39787,45.65457532,935,1526,74.48741893,19.84149565
North Iowa Area Community College,Mason City,IA,www.niacc.edu/,46428,Private,12473,90.11575252,1433,1645,90.39643591,1.295909053
University of Northern Iowa,Cedar Falls,IA,https://www.uni.edu/,28727,Public,18938,81.58468228,1453,3783,52.49226211,17.48714623
Northwestern College,Orange City,IA,https://www.nwciowa.edu/,42492,Public,20443,18.73992182,1035,210,72.10411879,8.612835221
Northeast Iowa Community College,Calmar,IA,https://www.nicc.edu/,14581,Public,15917,78.2016742,1542,4894,75.8100532,13.18016266
Northwest Iowa Community College,Sheldon,IA,www.nwicc.edu/,6317,Public,19898,40.24042566,1583,3248,76.5014042,3.089535021
Des Moines University-Osteopathic Medical Center,Des Moines,IA,www.dmu.edu/,13561,Public,3936,32.42597425,1303,6292,86.0903804,7.587649795
Palmer College of Chiropractic,Davenport,IA,www.palmer.edu/,18030,Private,39946,63.76245843,813,3374,60.91035813,20.75962866
PCI Academy-Ames,Ames,IA,www.pci-academy.com/,8863,Public,15997,30.74166836,1547,3414,70.82412857,22.33640261
Saint Ambrose University,Davenport,IA,www.sau.edu/,37138,Private,20356,88.55426231,1243,28,67.572553,1.811521157
St Luke's College,Sioux City,IA,www.stlukescollege.edu/,48149,Private,37073,24.48252444,917,4393,56.93103329,20.42428155
La James International College-Davenport,Davenport,IA,www.ljic.edu/,41665,Private,26829,7.997342475,996,1636,90.153917,7.338298892
Simpson College,Indianola,IA,simpson.edu/,33582,Public,15346,63.82970144,826,4902,58.59290567,4.757896537
Southeastern Community College,West Burlington,IA,www.scciowa.edu/,28066,Public,36536,74.3831155,1544,4254,88.96802572,5.908302858
Southwestern Community College,Creston,IA,www.swcciowa.edu/,32701,Private,19580,98.2853014,897,2740,78.57553744,0.895898265
Capri College-Davenport,Davenport,IA,www.capricollege.edu/,26804,Private,25305,47.91750021,1490,5420,76.90116875,0.389071519
Iowa School of Beauty-Sioux City,Sioux City,IA,iowaschoolofbeauty.com/,42430,Private,32210,78.09118522,1028,1608,67.74723097,16.18428386
E Q School of Hair Design,Council Bluffs,IA,www.sohohairacademy.com/,15753,Public,28435,84.45631336,1307,584,64.61495693,12.6009227
Upper Iowa University,Fayette,IA,https://www.uiu.edu/,20545,Public,12312,64.26780014,1458,1538,88.05700258,21.26115083
Waldorf University,Forest City,IA,www.waldorf.edu/,11652,Private,13112,98.65211593,1446,3908,79.53766494,6.359686388
Wartburg College,Waverly,IA,https://www.wartburg.edu/,13943,Public,12725,64.7505076,1504,611,67.33382954,19.84796255
Wartburg Theological Seminary,Dubuque,IA,https://www.wartburgseminary.edu/,9476,Private,21504,6.358548278,984,5407,72.28055049,17.24537737
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,tspacedarfalls.com/,37023,Private,1551,84.3194652,944,3682,66.10560726,7.925617218
Western Iowa Tech Community College,Sioux City,IA,https://www.witcc.edu/,31468,Private,27807,32.00352452,1350,1016,81.61877201,9.382247791
William Penn University,Oskaloosa,IA,https://www.wmpenn.edu/,28336,Private,18495,75.9365802,1555,2074,57.63313443,1.662411133
Allen County Community College,Iola,KS,https://www.allencc.edu/,37010,Private,32688,58.50265809,1528,2316,91.91160667,17.21665753
Baker University,Baldwin City,KS,https://www.bakeru.edu/,17779,Private,33006,81.36084009,1155,1662,58.51140996,1.81983349
Barton County Community College,Great Bend,KS,www.bartonccc.edu/,24506,Public,29988,30.69464691,1351,581,71.79311984,22.24972954
Benedictine College,Atchison,KS,www.benedictine.edu/,7169,Public,20550,98.02036221,1248,1093,51.14966758,16.22779248
Bethany College,Lindsborg,KS,https://www.bethanylb.edu/,11188,Public,7792,40.01040064,1141,3969,82.67297149,13.20062124
Bethel College-North Newton,North Newton,KS,www.bethelks.edu/,43242,Private,3691,74.39337624,934,2627,73.63059484,13.56700972
Butler Community College,El Dorado,KS,www.butlercc.edu/,29642,Public,30115,81.85646176,1595,1816,68.11187131,8.483205835
Central Christian College of Kansas,McPherson,KS,https://www.centralchristian.edu/,45787,Private,17715,87.26099439,1118,1738,77.93062145,10.45036809
Cloud County Community College,Concordia,KS,https://www.cloud.edu/,8306,Public,8239,12.27547776,882,4197,94.77366422,15.40920631
Coffeyville Community College,Coffeyville,KS,www.coffeyville.edu/,16550,Public,12407,75.45653458,904,5682,66.93050761,21.08215564
Colby Community College,Colby,KS,www.colbycc.edu/,41500,Private,2108,31.79736331,1401,3788,71.56395785,1.520995371
Cowley County Community College,Arkansas City,KS,www.cowley.edu/,41478,Public,34108,85.87458871,1560,214,87.33859417,18.68196169
Dodge City Community College,Dodge City,KS,https://dc3.edu/,8117,Private,3662,43.93065256,1396,4648,60.94630246,24.34972047
Donnelly College,Kansas City,KS,www.donnelly.edu/,46777,Public,39004,76.90453877,1464,5056,68.28772684,20.29541023
Emporia State University,Emporia,KS,www.emporia.edu/,10863,Private,17203,97.8249349,1505,1447,72.25843411,0.723172317
Flint Hills Technical College,Emporia,KS,www.fhtc.edu/,15701,Private,37841,87.84090008,959,1746,91.48562479,18.92425769
Fort Hays State University,Hays,KS,www.fhsu.edu/,11607,Public,7967,83.98033658,1275,2031,93.86797039,10.04136238
Barclay College,Haviland,KS,www.barclaycollege.edu/,24736,Public,37602,34.40288226,1380,6252,69.12869955,22.13595551
Friends University,Wichita,KS,www.friends.edu/,41012,Public,33114,43.89358142,905,1812,50.37643538,8.420728112
Fort Scott Community College,Fort Scott,KS,www.fortscott.edu/,7387,Public,13214,45.87516545,1247,1819,65.54823599,20.49443023
Garden City Community College,Garden City,KS,www.gcccks.edu/,27721,Public,1096,11.41131119,1408,1381,50.03811208,8.679507696
Haskell Indian Nations University,Lawrence,KS,www.haskell.edu/,24176,Public,26391,46.60570252,970,3201,82.30468028,18.58458063
Hays Academy of Hair Design,Hays,KS,www.haysacademy.edu/,28074,Private,14228,36.62938807,820,2386,82.14923248,9.733291238
Hesston College,Hesston,KS,www.hesston.edu/,40135,Private,6407,50.48564786,1590,3914,82.2928138,0.754996395
Highland Community College,Highland,KS,www.highlandcc.edu/,8268,Public,8794,42.55175515,1120,1706,97.33484124,2.688952605
Hutchinson Community College,Hutchinson,KS,www.hutchcc.edu/,42436,Public,27533,42.23295437,1057,4297,89.75545872,22.31859406
Independence Community College,Independence,KS,www.indycc.edu/,26411,Public,6110,62.07974149,1458,2715,66.17192947,3.478435503
Johnson County Community College,Overland Park,KS,www.jccc.edu/,21273,Private,12237,36.10643804,1063,5904,93.43642205,13.90163701
Concorde Career College-Kansas City,Kansas City,MO,https://www.concorde.edu/campus/kansas-city-missouri,46006,Private,35027,84.9581356,1343,2800,53.04699607,5.591790017
Kansas City Kansas Community College,Kansas City,KS,www.kckcc.edu/,36409,Public,6557,34.07505863,1574,3017,57.30561762,7.01859885
Kansas Christian College,Overland Park,KS,https://www.kansaschristian.edu/,33416,Public,10813,18.0203815,1322,6293,57.46091067,10.96038359
University of Kansas,Lawrence,KS,https://ku.edu/,6570,Public,17736,61.44996958,1016,652,65.01567804,17.64278047
Newman University,Wichita,KS,www.newmanu.edu/,41284,Public,20224,5.464682358,1277,5270,70.18844861,7.205944834
Old Town Barber College-Wichita,Wichita,KS,www.otbcollege.com/,31566,Private,10367,26.18819244,813,3040,73.84604992,4.916387628
Kansas State University,Manhattan,KS,www.k-state.edu/,46843,Private,13117,37.85237274,1383,2480,53.59572645,14.68946089
Kansas Wesleyan University,Salina,KS,www.kwu.edu/,46807,Private,22775,78.83623387,1400,6344,60.46166259,19.72752927
Washburn Institute of Technology,Topeka,KS,www.washburntech.edu/,33793,Public,9216,5.914730955,979,637,52.54956059,12.32220265
Labette Community College,Parsons,KS,www.labette.edu/,39512,Public,37228,83.99929456,917,4267,97.21005088,7.851490285
Manhattan Area Technical College,Manhattan,KS,https://manhattantech.edu/,26416,Private,2600,20.06586649,1142,2176,89.44926895,20.75514951
Manhattan Christian College,Manhattan,KS,www.mccks.edu/,27875,Public,24722,26.98337796,1075,4517,91.37772081,5.689324631
McPherson College,McPherson,KS,www.mcpherson.edu/,24482,Private,11455,73.69664897,1244,1059,96.65404125,23.20169591
MidAmerica Nazarene University,Olathe,KS,www.mnu.edu/,35874,Private,12985,99.62933284,1377,5566,63.4809919,0.502395123
Neosho County Community College,Chanute,KS,www.neosho.edu/,24596,Private,22759,94.34042868,1075,5898,53.9644104,18.08450226
North Central Kansas Technical College,Beloit,KS,www.ncktc.edu/,18576,Public,29660,23.27355393,1340,5705,61.07733116,5.08203209
Northwest Kansas Technical College,Goodland,KS,www.nwktc.edu/,12703,Private,10378,91.88919081,1141,85,57.90265845,4.194998334
Ottawa University-Ottawa,Ottawa,KS,www.ottawa.edu/,27338,Private,38956,90.79832841,941,4366,53.32261118,15.74775255
Ottawa University-Kansas City,Overland Park,KS,www.ottawa.edu/,6975,Public,32178,57.11978914,1576,6396,58.58397529,14.26404426
Pittsburg State University,Pittsburg,KS,www.pittstate.edu/,30800,Private,20048,83.83252574,1107,1663,81.24998203,21.66949351
Pratt Community College,Pratt,KS,www.prattcc.edu/,12376,Public,12856,99.43480398,1492,4627,75.34043482,14.67578008
University of Saint Mary,Leavenworth,KS,www.stmary.edu/,29026,Private,37579,23.89199172,975,5494,83.69956633,2.614497842
Salina Area Technical College,Salina,KS,www.salinatech.edu/,18835,Public,12382,74.49412864,1207,4570,80.61648944,8.51807642
Seward County Community College,Liberal,KS,www.sccc.edu/,39616,Public,20181,76.21870787,1372,1358,59.50487096,8.126405097
Southwestern College,Winfield,KS,https://www.sckans.edu/,14882,Public,35617,14.64198165,1473,2129,91.28099545,7.629425672
Sterling College,Sterling,KS,www.sterling.edu/,27191,Public,13047,48.30716331,980,4846,53.17518944,18.29103286
Tabor College,Hillsboro,KS,tabor.edu/,13940,Public,4549,79.88837579,1519,2868,73.19470397,14.4642046
Washburn University,Topeka,KS,www.washburn.edu/,41657,Public,8396,39.28462365,1559,4102,72.36953108,14.25945433
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,www.wsutech.edu/,11877,Public,33003,5.528171596,1473,780,75.76885558,21.62086383
Wichita State University,Wichita,KS,www.wichita.edu/,30934,Public,36880,83.53940212,1179,5854,50.0079331,4.627360706
Wichita Technical Institute,Wichita,KS,www.wti.edu/,32572,Private,13118,86.31243484,1538,4453,59.08338398,12.46347764
Alice Lloyd College,Pippa Passes,KY,www.alc.edu/,9931,Public,30730,54.05072242,1446,790,82.02253884,23.70746394
Asbury University,Wilmore,KY,https://www.asbury.edu/,47282,Public,33323,34.57111717,888,1864,68.06586508,2.121779759
Asbury Theological Seminary,Wilmore,KY,www.asburyseminary.edu/,38591,Public,35083,90.57602072,1244,873,80.30294592,10.63120228
Ashland Community and Technical College,Ashland,KY,https://ashland.kctcs.edu/,38481,Private,3605,76.33455615,1328,5273,97.27227054,7.800098183
Bellarmine University,Louisville,KY,https://www.bellarmine.edu/,7816,Private,7846,61.76230125,1472,6456,57.56071838,14.51520853
Berea College,Berea,KY,https://www.berea.edu/,7122,Public,3478,94.42833111,1098,5415,72.70997629,13.77734179
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,www.gotopjs.com/,7718,Public,10051,49.02922373,948,2407,69.23838171,4.37847079
Southcentral Kentucky Community and Technical College,Bowling Green,KY,https://southcentral.kctcs.edu/,34502,Private,39612,45.19341509,1487,5242,71.32793896,9.614859422
Brescia University,Owensboro,KY,www.brescia.edu/,41306,Private,36724,79.03318965,933,3258,93.90894322,2.378440363
Campbellsville University,Campbellsville,KY,https://www.campbellsville.edu/,17095,Public,16747,22.57300778,1345,1513,77.35974214,15.82664359
Bluegrass Community and Technical College,Lexington,KY,https://bluegrass.kctcs.edu/,13242,Private,31562,84.98600054,1477,3884,78.95373772,22.75380781
Centre College,Danville,KY,https://www.centre.edu/,34879,Private,15565,35.31448918,997,419,85.21196477,14.5827573
Clear Creek Baptist Bible College,Pineville,KY,https://ccbbc.edu/,39824,Private,33018,80.25460834,1455,3546,95.47210535,1.087257575
Paul Mitchell the School-Lexington,Lexington,KY,paulmitchell.edu/lexington,5279,Public,6074,54.76116141,965,5037,58.49580158,11.09075618
Galen College of Nursing-Louisville,Louisville,KY,www.galencollege.edu/louisville,46673,Private,15980,46.4159637,1383,11,58.75654067,5.020420143
University of the Cumberlands,Williamsburg,KY,www.ucumberlands.edu/,5249,Private,27875,51.06446833,1475,2969,57.94697117,7.308710658
Eastern Kentucky University,Richmond,KY,www.eku.edu/,32956,Private,3589,42.85275387,1079,812,62.94541235,12.64044631
Elizabethtown Community and Technical College,Elizabethtown,KY,https://elizabethtown.kctcs.edu/,22700,Private,1669,26.79202523,1113,430,88.99071058,3.508868854
Frontier Nursing University,Versailles,KY,www.frontier.edu/,14797,Private,12581,75.85180886,1388,1671,74.19689529,15.50421098
Georgetown College,Georgetown,KY,www.georgetowncollege.edu/,9211,Public,2086,45.64703138,915,5582,50.37700887,24.15650226
PJ's College of Cosmetology-Glasgow,Glasgow,KY,www.gotopjs.com/,22957,Private,39810,76.22765669,1559,4412,93.22242694,12.36149985
Hazard Community and Technical College,Hazard,KY,https://hazard.kctcs.edu/,6701,Private,28636,57.02160924,1140,2990,76.78142789,24.02291986
Paul Mitchell the School-Louisville,Louisville,KY,louisville.paulmitchell.edu/,31706,Public,6543,74.77925001,1036,3161,84.79287962,2.286092611
Henderson Community College,Henderson,KY,https://henderson.kctcs.edu/,31426,Public,2115,68.43002269,1427,1387,64.03215693,8.447127172
Hopkinsville Community College,Hopkinsville,KY,https://hopkinsville.kctcs.edu/index.aspx,16574,Private,32121,12.63625306,989,2372,78.51838391,17.99539755
Jefferson Community and Technical College,Louisville,KY,https://jefferson.kctcs.edu/,30805,Private,33128,78.58734372,1456,3156,82.76118962,9.881370829
Summit Salon Academy-Lexington,Lexington,KY,www.summitsalonacademy.org/,31023,Private,13159,8.036592107,807,4261,64.66477945,4.213244439
American National University-Pikeville,Pikeville,KY,https://www.an.edu/locations/,33859,Public,35307,18.97840055,1320,677,81.55280287,8.658578794
Kentucky Mountain Bible College,Jackson,KY,www.kmbc.edu/,43396,Public,36619,15.44378765,977,5359,79.63169327,10.56771158
Kentucky State University,Frankfort,KY,www.kysu.edu/,41700,Private,21599,64.83219124,1063,176,65.04608745,2.928863087
Kentucky Wesleyan College,Owensboro,KY,https://kwc.edu/,11964,Private,20928,36.68138303,980,1435,75.97436187,14.61195835
University of Kentucky,Lexington,KY,www.uky.edu/,47017,Private,8795,98.855578,900,6077,95.79881166,6.812513858
Kentucky Christian University,Grayson,KY,www.kcu.edu/,42579,Public,16910,56.72595876,1132,4997,55.09096528,9.756221465
Lexington Theological Seminary,Lexington,KY,www.lextheo.edu/,18373,Private,14554,76.23784692,934,1232,90.59152264,22.75004148
Lindsey Wilson College,Columbia,KY,https://www.lindsey.edu/,12301,Private,15436,13.21262061,1375,5611,94.78001904,8.210155525
University of Louisville,Louisville,KY,www.louisville.edu/,25044,Private,21172,65.44069903,1094,5166,78.77013994,9.352064482
Louisville Presbyterian Theological Seminary,Louisville,KY,www.lpts.edu/,39504,Public,7564,14.41616135,945,3845,69.58913746,19.01306292
Madisonville Community College,Madisonville,KY,https://madisonville.kctcs.edu/,18402,Public,23350,63.91051205,1062,2940,63.43437848,2.241202589
Maysville Community and Technical College,Maysville,KY,https://maysville.kctcs.edu/,24066,Private,16980,29.52528412,1043,3990,84.52125676,24.81118471
Midway University,Midway,KY,www.midway.edu/,23576,Private,17619,72.31150491,1312,4614,75.53440323,6.384958699
Morehead State University,Morehead,KY,https://moreheadstate.edu/,22292,Public,17805,68.96885637,1532,654,95.16674526,22.88342707
Murray State University,Murray,KY,www.murraystate.edu/,5906,Public,39751,69.53594349,1195,5695,81.50127464,13.53105932
Gateway Community and Technical College,Florence,KY,https://gateway.kctcs.edu/index.aspx,42267,Public,29165,56.75914719,1550,595,74.37555436,11.85661466
Northern Kentucky University,Highland Heights,KY,www.nku.edu/,6818,Private,18114,15.5911621,817,2808,63.09772454,20.79250999
West Kentucky Community and Technical College,Paducah,KY,https://westkentucky.kctcs.edu/,48833,Private,10447,7.664747619,1423,5998,62.19413896,6.643895182
